id,Passenger Type,Age,Type of Trip,Ticket Class,Trip Distance,Seat comfort,Departure/Arrival time convenient,Dining Service,Platform Location,Onboard wifi service,Onboard entertainment,Online support,Ease of Online booking,Train Staff Service,Leg room service,Baggage handling,Ticket Verification Service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,nation,Train Model Year,satisfaction
104,Occasional Traveler,,Work Commute,Standard,2155,3,2,3,3,3,3,5,3,4,3,3,1,4,3,7,21,Norway,1935,dissatisfied
105,Frequent Traveler,44,Leisure Trip,Standard,974,5,5,5,5,5,5,5,5,2,2,5,5,5,5,16,1,Sweden,1939,satisfied
106,Frequent Traveler,13,Leisure Trip,Standard,3632,0,0,0,4,4,5,4,4,4,4,4,5,4,5,8,0,Italy,1945,satisfied
107,Occasional Traveler,40,Work Commute,First Class,3989,2,2,2,3,5,2,5,5,4,5,4,3,4,5,0,0,Netherlands,1992,dissatisfied
108,Frequent Traveler,54,Work Commute,First Class,3680,2,2,2,2,3,5,5,5,5,5,5,5,5,5,39,40,Switzerland,1965,satisfied
109,Occasional Traveler,39,Work Commute,First Class,2156,3,3,3,4,3,3,3,3,4,3,3,1,4,3,0,4,Switzerland,2017,dissatisfied
110,Frequent Traveler,26,Work Commute,First Class,3305,3,3,3,3,3,3,3,1,2,2,3,3,1,3,8,14,Germany,1952,dissatisfied
111,Occasional Traveler,26,Work Commute,Standard,1596,4,3,4,2,4,4,4,4,5,5,2,4,3,4,0,0,Germany,1934,dissatisfied
112,Occasional Traveler,31,Work Commute,First Class,3568,2,2,2,2,5,2,5,5,3,2,3,4,4,5,18,6,Italy,1934,dissatisfied
113,Occasional Traveler,36,Work Commute,Standard,805,2,0,2,4,3,2,5,3,5,4,5,1,1,3,6,0,Italy,1943,dissatisfied
114,Frequent Traveler,39,Work Commute,Standard,2395,5,3,3,3,5,5,5,5,3,5,1,5,5,5,0,0,Switzerland,2017,satisfied
115,Frequent Traveler,58,Work Commute,First Class,88,5,5,4,5,5,5,5,5,5,5,4,3,5,4,4,10,Netherlands,1942,satisfied
116,Frequent Traveler,31,Work Commute,First Class,1716,1,1,1,1,3,3,3,3,3,4,4,3,4,3,20,22,Switzerland,1948,satisfied
117,Frequent Traveler,38,Leisure Trip,,1030,3,4,3,4,4,4,4,4,4,3,4,3,4,5,0,0,Spain,2009,dissatisfied
118,Frequent Traveler,54,Work Commute,First Class,1606,5,5,5,5,3,3,4,5,5,5,5,4,5,4,3,0,Belgium,1946,satisfied
119,Frequent Traveler,39,Work Commute,First Class,1932,5,5,5,5,4,2,5,5,5,5,5,4,5,3,0,0,Netherlands,1933,satisfied
120,Frequent Traveler,21,Leisure Trip,Standard,3067,4,1,4,2,3,4,3,3,4,4,3,3,3,3,0,19,Netherlands,2003,dissatisfied
121,Frequent Traveler,65,Work Commute,Standard,388,4,1,3,1,1,4,1,4,4,4,4,3,4,4,2,1,Norway,1984,satisfied
122,Frequent Traveler,30,Leisure Trip,Standard,2050,3,3,3,3,4,3,1,4,4,3,3,5,5,4,0,0,Spain,1969,dissatisfied
123,Frequent Traveler,45,Leisure Trip,Standard,1531,2,4,2,5,2,2,2,2,5,2,5,3,5,2,0,0,Germany,1939,dissatisfied
124,Frequent Traveler,45,Work Commute,First Class,1367,5,5,5,5,4,3,2,5,5,5,5,3,5,4,0,9,Germany,1980,satisfied
125,Frequent Traveler,39,Leisure Trip,Standard,2990,0,5,0,1,4,0,4,4,5,2,5,4,4,4,68,63,Norway,2017,satisfied
126,Frequent Traveler,27,Work Commute,First Class,1986,4,4,4,4,5,5,5,5,4,3,4,4,4,5,6,0,Spain,1990,satisfied
127,Frequent Traveler,40,Work Commute,First Class,467,2,2,2,2,2,4,4,4,4,4,4,4,4,3,45,31,Switzerland,1999,satisfied
128,Frequent Traveler,56,,Standard,496,1,3,3,3,4,4,4,1,1,1,1,3,1,3,0,0,Italy,1963,dissatisfied
129,Occasional Traveler,27,Work Commute,Standard,2280,2,2,2,3,3,2,3,3,1,4,5,2,4,3,0,0,Sweden,1957,dissatisfied
130,Frequent Traveler,43,Leisure Trip,Standard,488,1,1,1,1,4,5,4,4,4,4,4,4,4,5,51,66,Netherlands,1987,satisfied
131,Frequent Traveler,32,Leisure Trip,Comfort,1967,2,3,2,4,2,2,2,2,4,4,4,4,3,2,16,5,France,1968,dissatisfied
132,Frequent Traveler,13,Leisure Trip,First Class,2674,1,1,1,1,5,5,4,4,4,5,4,3,4,3,18,11,Austria,2012,satisfied
133,Frequent Traveler,11,Leisure Trip,Standard,2523,4,3,3,3,2,3,2,2,2,3,4,3,4,2,13,18,Austria,2002,dissatisfied
134,Occasional Traveler,27,Work Commute,Standard,2583,4,4,4,3,,4,5,5,4,4,5,2,2,5,8,7,Sweden,1955,satisfied
135,Occasional Traveler,25,Work Commute,Standard,1501,5,4,5,5,4,5,4,4,2,5,5,4,4,4,0,0,Netherlands,1997,satisfied
136,Frequent Traveler,31,Work Commute,First Class,2002,4,4,4,4,5,5,5,5,3,5,5,4,4,5,0,0,Belgium,1985,satisfied
137,Frequent Traveler,35,Work Commute,First Class,443,2,2,2,2,3,5,5,2,2,2,2,4,2,5,14,14,France,2008,satisfied
138,Occasional Traveler,20,Work Commute,First Class,2878,0,0,0,4,4,0,1,4,5,4,5,4,4,4,0,0,Sweden,1974,satisfied
139,Frequent Traveler,31,Leisure Trip,Standard,2586,2,3,2,3,5,2,5,5,1,1,3,3,4,5,16,44,France,1951,dissatisfied
140,Frequent Traveler,56,Work Commute,First Class,343,2,2,2,2,4,4,5,4,4,4,4,3,4,5,0,2,Spain,1977,satisfied
141,Frequent Traveler,36,Leisure Trip,Comfort,1788,4,5,4,3,3,4,4,3,4,4,4,5,4,3,50,62,Germany,1984,dissatisfied
142,Occasional Traveler,22,Work Commute,First Class,1744,5,0,5,5,5,5,5,5,5,3,5,4,5,5,0,0,Norway,1968,satisfied
143,Occasional Traveler,20,Work Commute,Standard,2326,2,2,2,4,1,2,5,1,2,2,4,2,4,1,68,50,Switzerland,2002,dissatisfied
144,Frequent Traveler,63,Leisure Trip,Standard,908,4,4,4,4,5,4,4,5,5,5,5,4,5,3,6,7,Netherlands,1986,satisfied
145,Frequent Traveler,10,Leisure Trip,Standard,2657,4,1,4,1,3,4,3,3,3,3,2,4,1,3,0,0,Norway,2006,satisfied
146,Frequent Traveler,37,Work Commute,First Class,2129,2,2,2,2,2,4,4,2,2,2,2,4,2,3,0,0,Austria,1992,satisfied
147,Frequent Traveler,16,Leisure Trip,Standard,1360,4,2,4,3,5,4,5,5,4,3,3,1,2,5,120,97,Sweden,1954,dissatisfied
148,Frequent Traveler,61,Leisure Trip,Standard,2000,3,4,3,2,3,3,3,3,4,3,4,5,4,3,0,0,Austria,1975,dissatisfied
149,Occasional Traveler,29,Work Commute,First Class,2165,3,3,3,3,4,3,3,4,2,4,3,1,3,4,91,90,Netherlands,1957,dissatisfied
150,Frequent Traveler,70,Leisure Trip,Comfort,2166,2,4,2,3,4,2,4,4,4,3,5,3,4,4,0,0,Austria,1979,dissatisfied
151,Frequent Traveler,54,Work Commute,Standard,2410,4,5,5,5,4,4,4,4,1,1,5,1,4,4,88,79,Sweden,1953,satisfied
152,Frequent Traveler,22,Work Commute,First Class,4089,3,3,3,3,4,4,4,4,5,5,4,5,4,4,15,0,Sweden,1933,satisfied
153,Occasional Traveler,20,Work Commute,First Class,2671,4,5,4,3,4,4,4,4,4,2,5,4,4,4,0,0,Netherlands,1960,satisfied
154,Frequent Traveler,41,Work Commute,Comfort,622,2,1,2,1,4,2,2,2,2,2,2,2,2,2,6,2,Netherlands,1953,dissatisfied
155,Frequent Traveler,59,Work Commute,Standard,452,3,4,4,4,4,2,2,3,3,3,3,1,3,1,0,0,Spain,2000,dissatisfied
156,Occasional Traveler,26,Work Commute,Comfort,3889,2,2,2,4,2,2,5,2,3,5,3,4,4,2,0,0,Austria,1955,dissatisfied
157,Frequent Traveler,63,Leisure Trip,Standard,2423,4,4,4,3,3,4,3,3,2,3,4,2,4,3,9,36,Austria,2001,dissatisfied
158,Frequent Traveler,51,Work Commute,Standard,356,3,1,1,1,5,3,3,3,3,3,3,4,3,3,55,44,Austria,1932,dissatisfied
159,Frequent Traveler,38,Work Commute,Standard,2281,4,3,4,3,4,4,4,4,2,3,4,1,4,4,6,16,Italy,1988,dissatisfied
160,Frequent Traveler,56,Work Commute,First Class,3908,4,1,4,4,2,5,1,5,5,4,5,3,5,4,103,85,Netherlands,1989,satisfied
161,Frequent Traveler,43,Work Commute,Standard,292,4,1,1,1,4,2,5,4,4,4,4,5,4,3,0,0,Norway,2011,satisfied
162,Frequent Traveler,15,Leisure Trip,Standard,2242,5,5,5,5,3,5,4,4,4,4,4,5,4,3,10,0,France,1980,satisfied
163,Frequent Traveler,57,Leisure Trip,Comfort,2279,1,2,1,4,1,1,1,1,1,1,3,2,4,1,11,15,Spain,1994,dissatisfied
164,Frequent Traveler,33,Leisure Trip,Standard,1378,2,4,2,3,3,2,3,3,4,1,3,2,5,3,1,0,Belgium,1989,dissatisfied
165,Frequent Traveler,15,Leisure Trip,Standard,1950,0,3,0,3,0,3,3,4,3,4,4,3,2,3,151,214,Austria,1971,satisfied
166,Occasional Traveler,19,Work Commute,Standard,3083,3,3,3,4,4,3,4,4,3,2,3,3,4,4,4,11,Netherlands,1943,
167,Frequent Traveler,26,Leisure Trip,Comfort,1887,2,1,3,3,2,3,2,2,1,5,3,2,4,2,31,32,Netherlands,2016,dissatisfied
168,Frequent Traveler,57,Work Commute,First Class,2015,4,2,2,2,5,4,3,4,4,3,4,3,4,1,8,24,Belgium,2019,dissatisfied
169,Frequent Traveler,27,Leisure Trip,Standard,1142,5,5,5,5,3,5,3,3,5,2,5,3,4,3,1,0,Switzerland,2005,satisfied
170,Frequent Traveler,69,Leisure Trip,Comfort,1352,3,2,3,3,4,3,4,4,2,3,4,2,3,4,1,3,Sweden,2015,dissatisfied
171,Frequent Traveler,21,Leisure Trip,Standard,1854,5,5,5,5,3,5,4,5,5,5,4,4,5,3,17,20,France,1947,satisfied
172,Frequent Traveler,42,Work Commute,First Class,3747,5,5,5,5,3,5,5,5,5,5,5,4,5,4,7,0,Austria,1989,satisfied
173,Frequent Traveler,67,Leisure Trip,Standard,2051,4,4,4,1,4,4,4,4,5,2,4,3,4,4,0,0,Belgium,1965,dissatisfied
174,Frequent Traveler,57,Leisure Trip,Standard,2608,4,4,4,3,5,4,2,5,3,2,5,3,5,5,5,6,Norway,1930,
175,Occasional Traveler,28,Work Commute,Standard,1447,4,2,4,4,1,4,1,1,2,4,3,1,4,1,52,44,Norway,1998,dissatisfied
176,Frequent Traveler,24,Leisure Trip,,1842,2,2,2,2,5,5,5,5,5,2,4,5,4,5,0,0,Norway,1990,satisfied
177,Frequent Traveler,17,Work Commute,First Class,4767,2,5,5,5,2,2,2,2,3,4,4,4,3,2,8,107,Spain,1955,dissatisfied
178,Frequent Traveler,56,Leisure Trip,Standard,506,5,5,5,5,2,4,5,4,4,4,4,3,4,5,0,0,Belgium,1951,satisfied
179,Frequent Traveler,38,Work Commute,First Class,2615,5,5,5,5,4,1,3,4,4,4,4,1,4,5,4,0,Netherlands,1998,satisfied
180,Frequent Traveler,62,Leisure Trip,Standard,1927,2,1,2,3,2,3,3,2,1,3,4,3,2,3,249,288,Italy,1991,dissatisfied
181,Frequent Traveler,42,Work Commute,First Class,2147,1,1,1,1,2,3,5,5,5,5,5,4,5,5,3,30,Switzerland,1929,satisfied
182,Occasional Traveler,33,Work Commute,Standard,2283,1,1,1,3,1,3,4,3,3,3,3,4,4,4,206,243,Sweden,1970,dissatisfied
183,Frequent Traveler,55,Leisure Trip,First Class,598,3,3,3,3,1,3,4,5,5,5,5,5,5,5,8,8,Belgium,1955,satisfied
184,Frequent Traveler,28,Leisure Trip,Standard,992,1,4,1,1,1,1,1,1,4,3,4,5,5,1,0,0,Germany,1941,dissatisfied
185,Frequent Traveler,54,Work Commute,First Class,597,3,3,3,3,2,4,4,4,4,4,4,4,4,4,6,0,Germany,1959,satisfied
186,Frequent Traveler,32,Work Commute,Comfort,2115,0,0,0,1,1,0,1,1,1,4,4,4,5,1,5,0,Italy,2006,satisfied
187,Frequent Traveler,17,Leisure Trip,Standard,3745,3,1,3,2,3,5,2,1,3,1,3,2,2,2,139,142,France,2017,dissatisfied
188,Occasional Traveler,37,Work Commute,Standard,1760,2,3,1,3,1,4,4,4,4,4,4,4,4,4,180,217,Germany,1978,dissatisfied
189,Frequent Traveler,11,Leisure Trip,Standard,1647,2,4,2,3,3,2,3,3,4,3,4,3,1,3,0,0,Germany,1987,dissatisfied
190,Frequent Traveler,47,Work Commute,First Class,3294,3,3,2,3,4,5,5,4,4,4,4,5,4,5,0,9,Belgium,1955,satisfied
