Passenger Type,Age,Type of Trip,Ticket Class,Trip Distance,Seat comfort,Departure/Arrival time convenient,Dining Service,Platform Location,Onboard wifi service,Onboard entertainment,Online support,Ease of Online booking,Train Staff Service,Leg room service,Baggage handling,Ticket Verification Service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes,nation,Train Model Year,satisfaction
Occasional Traveler,28.0,Work Commute,First Class,2161.0,5.0,5.0,5.0,3.0,1.0,5.0,1.0,1.0,3.0,3.0,4.0,3.0,5.0,1.0,0.0,0.0,Germany,1975.0,satisfied
Frequent Traveler,36.0,Leisure Trip,Standard,2095.0,1.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,3.0,5.0,1.0,0.0,4.0,Switzerland,1984.0,dissatisfied
Frequent Traveler,41.0,Work Commute,First Class,3553.0,0.0,0.0,0.0,3.0,2.0,4.0,4.0,2.0,2.0,5.0,5.0,1.0,2.0,2.0,23.0,19.0,Germany,1995.0,satisfied
Frequent Traveler,16.0,Work Commute,First Class,1675.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,4.0,1.0,2.0,5.0,0.0,0.0,Switzerland,2005.0,satisfied
Frequent Traveler,66.0,Work Commute,Standard,1031.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,3.0,1.0,0.0,0.0,Belgium,1986.0,dissatisfied
Frequent Traveler,58.0,Work Commute,Standard,1878.0,3.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,4.0,4.0,2.0,4.0,3.0,43.0,46.0,Italy,2016.0,dissatisfied
Frequent Traveler,61.0,Leisure Trip,Standard,2338.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,2.0,4.0,5.0,5.0,3.0,0.0,0.0,Sweden,1994.0,satisfied
Frequent Traveler,47.0,Work Commute,First Class,3112.0,1.0,5.0,5.0,5.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,Norway,2011.0,dissatisfied
Frequent Traveler,53.0,Leisure Trip,Standard,2102.0,4.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,Sweden,2017.0,satisfied
Frequent Traveler,48.0,Leisure Trip,Standard,2241.0,2.0,4.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,5.0,3.0,0.0,0.0,Switzerland,2016.0,dissatisfied
Frequent Traveler,59.0,Work Commute,First Class,1682.0,3.0,3.0,3.0,3.0,5.0,4.0,5.0,3.0,3.0,2.0,3.0,5.0,3.0,3.0,2.0,0.0,Switzerland,1999.0,satisfied
Frequent Traveler,13.0,Leisure Trip,Standard,2696.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,0.0,0.0,France,1984.0,satisfied
Occasional Traveler,49.0,Work Commute,Standard,910.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,1.0,0.0,0.0,Germany,1990.0,dissatisfied
Frequent Traveler,58.0,Work Commute,First Class,2119.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,Norway,1992.0,satisfied
Frequent Traveler,51.0,Work Commute,First Class,959.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,0.0,Switzerland,1991.0,satisfied
Occasional Traveler,23.0,Work Commute,Standard,1574.0,1.0,1.0,1.0,3.0,4.0,1.0,4.0,4.0,2.0,5.0,4.0,2.0,4.0,4.0,22.0,24.0,Italy,1987.0,dissatisfied
Frequent Traveler,49.0,Work Commute,First Class,3599.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,0.0,0.0,Italy,1977.0,satisfied
Frequent Traveler,20.0,Work Commute,Standard,2170.0,2.0,5.0,5.0,5.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,2.0,8.0,2.0,Italy,1974.0,dissatisfied
Occasional Traveler,39.0,Work Commute,First Class,2144.0,1.0,1.0,1.0,3.0,3.0,1.0,3.0,3.0,1.0,3.0,4.0,3.0,3.0,3.0,1.0,0.0,Norway,1957.0,dissatisfied
Frequent Traveler,24.0,Work Commute,First Class,2594.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,5.0,3.0,2.0,4.0,2.0,5.0,5.0,0.0,0.0,Italy,2009.0,satisfied
Frequent Traveler,43.0,Leisure Trip,Standard,852.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,0.0,0.0,France,2007.0,satisfied
Frequent Traveler,49.0,Leisure Trip,Standard,2917.0,2.0,5.0,2.0,4.0,3.0,2.0,3.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,0.0,0.0,Belgium,1939.0,dissatisfied
Occasional Traveler,20.0,Work Commute,Standard,2071.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,1.0,26.0,10.0,Italy,1941.0,dissatisfied
Frequent Traveler,30.0,Work Commute,First Class,1533.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,3.0,1.0,2.0,1.0,5.0,0.0,0.0,Netherlands,1998.0,satisfied
Frequent Traveler,36.0,Work Commute,First Class,1681.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,20.0,12.0,Spain,1943.0,dissatisfied
Occasional Traveler,36.0,Work Commute,Comfort,1846.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,4.0,4.0,2.0,36.0,35.0,Sweden,1936.0,dissatisfied
Frequent Traveler,80.0,Work Commute,Comfort,1278.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,5.0,2.0,5.0,0.0,0.0,France,1951.0,satisfied
Frequent Traveler,35.0,Work Commute,First Class,385.0,2.0,2.0,3.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,Switzerland,1961.0,satisfied
Frequent Traveler,61.0,Work Commute,Standard,371.0,3.0,1.0,1.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,36.0,Belgium,1953.0,dissatisfied
Frequent Traveler,61.0,Leisure Trip,Standard,353.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,Spain,1969.0,satisfied
Occasional Traveler,57.0,Work Commute,Standard,1560.0,3.0,0.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,3.0,3.0,5.0,3.0,1.0,0.0,0.0,Austria,2019.0,dissatisfied
Frequent Traveler,58.0,Work Commute,First Class,2824.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,0.0,0.0,France,1997.0,satisfied
Frequent Traveler,25.0,Leisure Trip,Comfort,1876.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,2.0,4.0,1.0,4.0,4.0,82.0,70.0,Belgium,1986.0,dissatisfied
Frequent Traveler,62.0,Leisure Trip,First Class,959.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,0.0,Belgium,2003.0,satisfied
Frequent Traveler,42.0,Leisure Trip,Comfort,1951.0,4.0,5.0,4.0,1.0,2.0,4.0,2.0,2.0,3.0,1.0,3.0,5.0,5.0,2.0,0.0,0.0,Switzerland,1967.0,dissatisfied
Frequent Traveler,80.0,Work Commute,First Class,2727.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,0.0,0.0,Belgium,1947.0,satisfied
Occasional Traveler,32.0,Work Commute,First Class,1565.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,5.0,2.0,4.0,3.0,4.0,2.0,0.0,0.0,Italy,1983.0,dissatisfied
Frequent Traveler,43.0,Work Commute,First Class,1730.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,1.0,8.0,Norway,1987.0,satisfied
Frequent Traveler,52.0,Work Commute,First Class,2135.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,Switzerland,1986.0,satisfied
Frequent Traveler,44.0,Work Commute,First Class,3265.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,4.0,0.0,0.0,Spain,1992.0,dissatisfied
Frequent Traveler,41.0,Work Commute,First Class,1144.0,1.0,1.0,4.0,1.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,0.0,0.0,Sweden,1943.0,satisfied
Frequent Traveler,41.0,Work Commute,First Class,2466.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,Spain,1976.0,satisfied
Frequent Traveler,57.0,Work Commute,First Class,429.0,5.0,5.0,3.0,5.0,1.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,4.0,3.0,0.0,0.0,Netherlands,1973.0,satisfied
Frequent Traveler,51.0,Work Commute,First Class,3549.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,7.0,Belgium,1934.0,dissatisfied
Frequent Traveler,40.0,Work Commute,First Class,2789.0,3.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,36.0,42.0,Austria,1932.0,satisfied
Frequent Traveler,43.0,Work Commute,First Class,3020.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,55.0,54.0,Netherlands,1975.0,satisfied
Frequent Traveler,45.0,Work Commute,First Class,684.0,2.0,2.0,1.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,Spain,1960.0,satisfied
Frequent Traveler,54.0,Leisure Trip,First Class,864.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,5.0,5.0,5.0,4.0,13.0,0.0,Spain,1980.0,satisfied
Frequent Traveler,25.0,Leisure Trip,Standard,3205.0,1.0,4.0,1.0,3.0,2.0,1.0,2.0,2.0,4.0,2.0,3.0,1.0,4.0,2.0,14.0,8.0,Norway,1981.0,dissatisfied
Frequent Traveler,37.0,Work Commute,First Class,2326.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,3.0,25.0,28.0,Belgium,1969.0,satisfied
Frequent Traveler,70.0,Leisure Trip,First Class,233.0,0.0,0.0,0.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,35.0,40.0,Sweden,1936.0,satisfied
Frequent Traveler,64.0,Leisure Trip,Standard,3893.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,5.0,4.0,3.0,4.0,2.0,4.0,2.0,16.0,40.0,Belgium,1986.0,dissatisfied
Frequent Traveler,46.0,Leisure Trip,Standard,3100.0,1.0,5.0,1.0,3.0,2.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,3.0,2.0,0.0,0.0,Austria,1998.0,dissatisfied
Occasional Traveler,40.0,Work Commute,First Class,1857.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,5.0,1.0,3.0,5.0,1.0,1.0,5.0,0.0,0.0,France,1990.0,dissatisfied
Frequent Traveler,54.0,Work Commute,First Class,1779.0,1.0,1.0,1.0,1.0,5.0,3.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,0.0,3.0,France,1965.0,satisfied
Frequent Traveler,11.0,Leisure Trip,Standard,1838.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,3.0,5.0,2.0,9.0,1.0,Italy,1996.0,dissatisfied
Frequent Traveler,43.0,Work Commute,Standard,1380.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,0.0,0.0,Netherlands,1932.0,dissatisfied
Frequent Traveler,54.0,Work Commute,First Class,3624.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,4.0,0.0,7.0,France,1936.0,satisfied
Frequent Traveler,17.0,Work Commute,First Class,1557.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,4.0,0.0,0.0,Austria,2003.0,satisfied
Frequent Traveler,25.0,Work Commute,Comfort,2183.0,1.0,3.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,7.0,Austria,1948.0,dissatisfied
Frequent Traveler,47.0,Leisure Trip,Standard,1561.0,4.0,4.0,4.0,3.0,5.0,4.0,5.0,5.0,3.0,2.0,5.0,3.0,5.0,5.0,0.0,0.0,Spain,1963.0,dissatisfied
Frequent Traveler,64.0,Work Commute,First Class,2384.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,0.0,France,1957.0,dissatisfied
Frequent Traveler,22.0,Leisure Trip,Standard,3065.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,1.0,4.0,3.0,10.0,0.0,Spain,1972.0,satisfied
Frequent Traveler,56.0,Work Commute,First Class,917.0,2.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,0.0,1.0,Germany,1985.0,satisfied
Frequent Traveler,44.0,Leisure Trip,Standard,974.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,5.0,5.0,5.0,5.0,16.0,1.0,Sweden,1939.0,satisfied
Frequent Traveler,13.0,Leisure Trip,Standard,3632.0,0.0,0.0,0.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,8.0,0.0,Italy,1945.0,satisfied
Occasional Traveler,40.0,Work Commute,First Class,3989.0,2.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,0.0,0.0,Netherlands,1992.0,dissatisfied
Frequent Traveler,54.0,Work Commute,First Class,3680.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,39.0,40.0,Switzerland,1965.0,satisfied
Occasional Traveler,39.0,Work Commute,First Class,2156.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,0.0,4.0,Switzerland,2017.0,dissatisfied
Frequent Traveler,26.0,Work Commute,First Class,3305.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,8.0,14.0,Germany,1952.0,dissatisfied
Occasional Traveler,26.0,Work Commute,Standard,1596.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,4.0,3.0,4.0,0.0,0.0,Germany,1934.0,dissatisfied
Occasional Traveler,31.0,Work Commute,First Class,3568.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,5.0,18.0,6.0,Italy,1934.0,dissatisfied
Occasional Traveler,36.0,Work Commute,Standard,805.0,2.0,0.0,2.0,4.0,3.0,2.0,5.0,3.0,5.0,4.0,5.0,1.0,1.0,3.0,6.0,0.0,Italy,1943.0,dissatisfied
Frequent Traveler,39.0,Work Commute,Standard,2395.0,5.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,0.0,0.0,Switzerland,2017.0,satisfied
Frequent Traveler,58.0,Work Commute,First Class,88.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,10.0,Netherlands,1942.0,satisfied
Frequent Traveler,31.0,Work Commute,First Class,1716.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,20.0,22.0,Switzerland,1948.0,satisfied
Frequent Traveler,54.0,Work Commute,First Class,1606.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,0.0,Belgium,1946.0,satisfied
Frequent Traveler,39.0,Work Commute,First Class,1932.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,0.0,0.0,Netherlands,1933.0,satisfied
Frequent Traveler,21.0,Leisure Trip,Standard,3067.0,4.0,1.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,0.0,19.0,Netherlands,2003.0,dissatisfied
Frequent Traveler,65.0,Work Commute,Standard,388.0,4.0,1.0,3.0,1.0,1.0,4.0,1.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,1.0,Norway,1984.0,satisfied
Frequent Traveler,30.0,Leisure Trip,Standard,2050.0,3.0,3.0,3.0,3.0,4.0,3.0,1.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,0.0,0.0,Spain,1969.0,dissatisfied
Frequent Traveler,45.0,Leisure Trip,Standard,1531.0,2.0,4.0,2.0,5.0,2.0,2.0,2.0,2.0,5.0,2.0,5.0,3.0,5.0,2.0,0.0,0.0,Germany,1939.0,dissatisfied
Frequent Traveler,45.0,Work Commute,First Class,1367.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,0.0,9.0,Germany,1980.0,satisfied
Frequent Traveler,39.0,Leisure Trip,Standard,2990.0,0.0,5.0,0.0,1.0,4.0,0.0,4.0,4.0,5.0,2.0,5.0,4.0,4.0,4.0,68.0,63.0,Norway,2017.0,satisfied
Frequent Traveler,27.0,Work Commute,First Class,1986.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,6.0,0.0,Spain,1990.0,satisfied
Frequent Traveler,40.0,Work Commute,First Class,467.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,45.0,31.0,Switzerland,1999.0,satisfied
Occasional Traveler,27.0,Work Commute,Standard,2280.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,1.0,4.0,5.0,2.0,4.0,3.0,0.0,0.0,Sweden,1957.0,dissatisfied
Frequent Traveler,43.0,Leisure Trip,Standard,488.0,1.0,1.0,1.0,1.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,51.0,66.0,Netherlands,1987.0,satisfied
Frequent Traveler,32.0,Leisure Trip,Comfort,1967.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,2.0,16.0,5.0,France,1968.0,dissatisfied
Frequent Traveler,13.0,Leisure Trip,First Class,2674.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,4.0,3.0,18.0,11.0,Austria,2012.0,satisfied
Frequent Traveler,11.0,Leisure Trip,Standard,2523.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,2.0,13.0,18.0,Austria,2002.0,dissatisfied
Occasional Traveler,25.0,Work Commute,Standard,1501.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,Netherlands,1997.0,satisfied
Frequent Traveler,31.0,Work Commute,First Class,2002.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,5.0,0.0,0.0,Belgium,1985.0,satisfied
Frequent Traveler,35.0,Work Commute,First Class,443.0,2.0,2.0,2.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,2.0,5.0,14.0,14.0,France,2008.0,satisfied
Occasional Traveler,20.0,Work Commute,First Class,2878.0,0.0,0.0,0.0,4.0,4.0,0.0,1.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,0.0,0.0,Sweden,1974.0,satisfied
Frequent Traveler,31.0,Leisure Trip,Standard,2586.0,2.0,3.0,2.0,3.0,5.0,2.0,5.0,5.0,1.0,1.0,3.0,3.0,4.0,5.0,16.0,44.0,France,1951.0,dissatisfied
Frequent Traveler,56.0,Work Commute,First Class,343.0,2.0,2.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,2.0,Spain,1977.0,satisfied
Frequent Traveler,36.0,Leisure Trip,Comfort,1788.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,3.0,50.0,62.0,Germany,1984.0,dissatisfied
Occasional Traveler,22.0,Work Commute,First Class,1744.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,0.0,0.0,Norway,1968.0,satisfied
Occasional Traveler,20.0,Work Commute,Standard,2326.0,2.0,2.0,2.0,4.0,1.0,2.0,5.0,1.0,2.0,2.0,4.0,2.0,4.0,1.0,68.0,50.0,Switzerland,2002.0,dissatisfied
Frequent Traveler,63.0,Leisure Trip,Standard,908.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,6.0,7.0,Netherlands,1986.0,satisfied
Frequent Traveler,10.0,Leisure Trip,Standard,2657.0,4.0,1.0,4.0,1.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,1.0,3.0,0.0,0.0,Norway,2006.0,satisfied
Frequent Traveler,37.0,Work Commute,First Class,2129.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,0.0,0.0,Austria,1992.0,satisfied
Frequent Traveler,61.0,Leisure Trip,Standard,2000.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,0.0,0.0,Austria,1975.0,dissatisfied
Frequent Traveler,70.0,Leisure Trip,Comfort,2166.0,2.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,4.0,0.0,0.0,Austria,1979.0,dissatisfied
Frequent Traveler,22.0,Work Commute,First Class,4089.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,15.0,0.0,Sweden,1933.0,satisfied
Occasional Traveler,20.0,Work Commute,First Class,2671.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,0.0,0.0,Netherlands,1960.0,satisfied
Frequent Traveler,41.0,Work Commute,Comfort,622.0,2.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.0,Netherlands,1953.0,dissatisfied
Frequent Traveler,59.0,Work Commute,Standard,452.0,3.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,Spain,2000.0,dissatisfied
Occasional Traveler,26.0,Work Commute,Comfort,3889.0,2.0,2.0,2.0,4.0,2.0,2.0,5.0,2.0,3.0,5.0,3.0,4.0,4.0,2.0,0.0,0.0,Austria,1955.0,dissatisfied
